Title,Company,Category,Remote,Seniority,Bottom salary,Top salary,Must haves,Nice to haves
Junior Linux Administrator,Akademia Górniczo-Hutnicza,Sys. Administrator,0,Junior,7000,10000,"Linux,Virtualization,Bash,Git,Ansible,Docker,VMware","Python,GitLab,Bitbucket,Fortinet"
Wordpress Developer,Coople,Frontend,1,Mid,5000,6000,"WordPress,PHP,JavaScript,Web design,SEO,CI,CD",
"Senior Full-Stack Engineer, Discover",Box Inc.,Fullstack,0,Senior,30000,35000,"Bachelor's/Master's degree,Java,Scala,JavaScript,PHP","QA Automation experience,SRE background,Practical experience with React"
"Senior Software Engineer, Relay",Box Inc.,Backend,0,Senior,30000,35000,"5+ years of experience,Java,web development framework","PHP,Python,public cloud systems,messaging infrastructure,open source project"
Software Developer (Java),Cinkciarz.pl Sp. z o.o.,Backend,1,Mid,,,"Java,Spring Boot,Hibernate,Git,REST API,Docker,CI/CD Pipelines","Google Cloud Platform,PHP,Frontend"
Frontend fejlesztő,Duna House Holding Kft,Frontend,1,Mid,7785,13346,"HTML,CSS,JavaScript,Bootstrap,Git","Tailwind,Vue.js,PHP"
Remote Fullstack Developer,Gett,Fullstack,1,Senior,25903,27522,"backend language experience,server-side application experience,database design,Node.js,React,SPA,Redux,Golang","Golang,MySQL,HTML,CSS,Ruby"
Application Security Tooling Engineer III,Box Inc.,Security,0,Mid,20500,25500,"DevSecOps Experience,Security tools,OWASP knowledge,Frontend/API focus,Application security",
Engineering Architect (JS + Java + iOS / Android),1dea,Data,1,Mid,,,"Android,iOS,MVC,MVVM,Web development,Angular,Java,C++,Python,PHP","Data modeling,CI,CD,Jenkins,Puppet,Ansible,Terraform,Project management,SAFe"
Senior DevOps Engineer z Java,Leroy Merlin Polska,DevOps,1,Senior,,,"Java,Spring Boot,Docker Compose,JFrog,Apache Kafka,Kubernetes,Terraform,Helm,GCP,CI,CD,GitHub Actions,PostgreSQL,MySQL,MSSQL,Datadog,Keycloak,SonarQube,Xray,Checkmarx,Next.js","API Gateway,PHP,JavaScript,Vue.js"
Frontend Developer,Travactory N. V.,Frontend,0,Mid,14000,20000,"JavaScript,TypeScript,Web services,WordPress,PHP,Relational database,CMS","React,MongoDB,UI,Web applications,Node.js"
Linux Administrator,Akademia Górniczo-Hutnicza,Sys. Administrator,0,Mid,7000,10000,"Linux,Virtualization,Bash,Git,Ansible,TCP/IP,Docker,VMware,VPN","Python,GitLab,Bitbucket,Fortinet"
Fullstack Developer (Python + Django),Devire,Fullstack,0,Senior,22000,27000,"Python,Django,FastAPI,Flask,JavaScript,React","TypeScript,PostgreSQL,Linux,Bash,Git,Angular,CA,Docker,Kubernetes,Kafka,PHP,Java,C#,Sylius"
Project/Product Manager (eCommerce),Tau Ceti Sp. z o.o.,Product Management,1,Senior,14400,20800,,"Agile,Asana,E-commerce,PHP,Symfony,REST API,SOLID"
Lead Magento Developer,Spyrosoft,Other IT,1,Senior,25200,28560,"Magento,Adobe,PHP,MySQL,Redis,RabbitMQ,Varnish,Swagger,Elasticsearch,Docker,CI,CD pipelines,Jenkins,GitHub",
DevOps Engineer,Boldare,DevOps,0,Senior,18000,26000,"DevOps,Kubernetes,GitLab,CI/CD,Git,Terraform,ArgoCD,GitOps,PostgreSQL,Prometheus,Loki,Grafana,Ansible,Nginx,Cloudflare","Go,Python,JavaScript,Java,PHP,Ruby"
Senior Software Backend Engineer,Box Inc.,Backend,0,Senior,30000,35000,"Java,Object-oriented programming","PHP,Scala,GCP,AWS,Azure"
Staff Software Backend Engineer,Box Inc.,Backend,0,Senior,37000,44000,"10 years experience,Java,developing APIs","PHP,Scala,GCP,AWS,Azure"
Java DevOps Engineer,Navifleet,DevOps,0,Mid,18000,23000,"Java,Spring,AWS","IoT,Scala,PHP"
"Senior Software Engineer, Partner Integrations",Box Inc.,Backend,0,Senior,30000,35000,"5+ years of experience,Java","Java,Node.js,React.js,Kubernetes,PHP"
Senior DevOps Engineer,NFQ Technologies,DevOps,0,Senior,19400,27540,"Linux,macOS,Azure,DevOps,Bash,Unix,PowerShell,Shell,Docker,Kubernetes,Infrastructure as Code,Terraform,New Relic,Elasticsearch,Logstash,Kibana,Web applications","Java,PHP,E-commerce"
Full stack Laravel fejlesztő,Promenade Medical Communication Group,Fullstack,1,Mid,8897,13346,"Laravel,PHP,JavaScript,Vue.js,Ajax,HTML,CSS","Git,SQL"
JavaScript Developer,VML Enterprise Solutions,Frontend,1,Mid,10000,15000,"JavaScript,HTML5,CSS,Sass,LESS,jQuery,Testing,SEO,Security,Git,Continuous integration,Unit testing,Cypress,Grunt,Webpack","Node.js,C#,PHP,TypeScript"
Wordpress Developer,Woo Agency,Fullstack,0,Mid,8000,11000,"WordPress,HTML5,PHP,JS,CSS,acf,gutenberg blocks,xd,Figma,Photoshop,WooCommerce,JavaScript","React,Python"
Software Development Engineer,Remitly Poland sp. z o.o.,Backend,0,Mid,20000,23000,Java,"PHP,TypeScript,JavaScript,React native,AWS,Kotlin,Golang,Kubernetes"
Senior Full Stack Developer (JavaScript and PHP),White Label Coders,Fullstack,1,Senior,20000,25000,"PHP,JavaScript,WordPress,Next.js,TypeScript,WooCommerce",React
